date,cash,market_value,equity,positions
2023-06-12,1000000.0,0.0,1000000.0,0
2023-06-15,724140.3,279956.0,1004096.3,3
2023-06-16,551709.48,454113.0,1005822.48,4
2023-06-19,426975.05,570854.0,997829.05,4
2023-06-20,426975.05,569019.0,995994.05,4
2023-06-21,426975.05,572326.0,999301.05,4
2023-06-26,570334.02,424503.0,994837.02,3
2023-06-27,570334.02,432304.0,1002638.02,3
2023-06-28,570334.02,428667.0,999001.02,3
2023-06-29,471396.3,520978.0,992374.3,4
2023-06-30,471396.3,521405.0,992801.3,4
2023-07-03,471396.3,533554.0,1004950.3,4
2023-07-04,372040.48,636847.0,1008887.48,5
2023-07-05,328064.05,680220.0,1008284.05,5
2023-07-06,425098.25,577755.0,1002853.25,4
2023-07-07,420293.2,579638.0,999931.2,4
2023-07-10,420293.2,572015.0,992308.2,4
2023-07-11,321097.42,677241.0,998338.42,5
2023-07-12,271668.58,727187.0,998855.58,5
2023-07-13,271668.58,740626.0,1012294.58,5
2023-07-14,270376.57,741017.0,1011393.57,5
2023-07-17,270376.57,737062.0,1007438.57,5
2023-07-18,417204.9,587460.0,1004664.9,4
2023-07-19,417204.9,591132.0,1008336.9,4
2023-07-20,411409.84,590591.0,1002000.84,4
2023-07-21,410981.84,588751.0,999732.84,4
2023-07-24,410557.84,582768.0,993325.84,4
2023-07-25,410557.84,594869.0,1005426.84,4
2023-07-26,121331.78,878402.0,999733.78,7
2023-07-27,25516.87,972632.0,998148.87,7
2023-07-28,1570.64,1017920.0,1019490.64,7
2023-07-31,1570.64,1014417.0,1015987.64,7
2023-08-01,1914.25,1006468.0,1008382.25,8
2023-08-02,1914.25,994493.0,996407.25,8
2023-08-03,6523.01,997915.0,1004438.01,8
2023-08-04,1517.96,1003525.0,1005042.96,8
2023-08-07,1517.96,998498.0,1000015.96,8
2023-08-08,1517.96,992454.0,993971.96,8
2023-08-09,1517.96,995442.0,996959.96,8
2023-08-10,1517.96,996861.0,998378.96,8
2023-08-11,950.94,971001.0,971951.94,9
2023-08-14,119989.81,837483.0,957472.81,8
2023-08-15,360665.05,595903.0,956568.05,5
2023-08-16,443741.86,513178.0,956919.86,4
2023-08-17,443741.86,518104.0,961845.86,4
2023-08-18,443741.86,515208.0,958949.86,4
2023-08-21,443741.86,506776.0,950517.86,4
2023-08-22,443741.86,508712.0,952453.86,4
2023-08-23,396767.65,548197.0,944964.65,4
2023-08-24,396767.65,557077.0,953844.65,4
2023-08-25,396767.65,558169.0,954936.65,4
2023-08-28,396767.65,564139.0,960906.65,4
2023-08-29,394131.62,571938.0,966069.62,4
2023-08-30,394131.62,566274.0,960405.62,4
2023-08-31,391531.59,563070.0,954601.59,4
2023-09-01,391531.59,565553.0,957084.59,4
2023-09-04,300697.98,667034.0,967731.98,5
2023-09-05,254606.0,703870.0,958476.0,5
2023-09-06,382939.54,566786.0,949725.54,4
2023-09-07,288613.02,653270.0,941883.02,5
2023-09-08,379164.9,558212.0,937376.9,4
2023-09-11,376732.88,564035.0,940767.88,4
2023-09-12,376732.88,561230.0,937962.88,4
2023-09-13,376732.88,563042.0,939774.88,4
2023-09-14,376732.88,566396.0,943128.88,4
2023-09-15,283679.69,663343.0,947022.69,5
2023-09-18,236501.43,708489.0,944990.43,5
2023-09-19,234258.41,715821.0,950079.41,5
2023-09-20,234258.41,712875.0,947133.41,5
2023-09-21,234258.41,703042.0,937300.41,5
2023-09-22,234258.41,713482.0,947740.41,5
2023-09-25,5958.27,935306.0,941264.27,8
2023-09-26,91330.27,845176.0,936506.27,6
2023-09-27,91330.27,855206.0,946536.27,6
2023-09-28,91330.27,851765.0,943095.27,6
2023-10-09,91330.27,848522.0,939852.27,6
2023-10-10,91330.27,838821.0,930151.27,6
2023-10-11,411553.47,525389.0,936942.47,4
2023-10-12,365941.61,572321.0,938262.61,4
2023-10-13,574231.76,362839.0,937070.76,3
2023-10-16,610364.28,324577.0,934941.28,3
2023-10-17,565952.74,370755.0,936707.74,3
2023-10-18,521901.29,411692.0,933593.29,3
2023-10-19,513206.2,414524.0,927730.2,3
2023-10-20,513206.2,408629.0,921835.2,3
2023-10-23,513206.2,408904.0,922110.2,3
2023-10-24,513206.2,410905.0,924111.2,3
2023-10-25,513206.2,405412.0,918618.2,3
2023-10-26,650756.58,272787.0,923543.58,2
2023-10-27,650756.58,282692.0,933448.58,2
2023-10-30,650756.58,289134.0,939890.58,2
2023-10-31,650756.58,287030.0,937786.58,2
2023-11-01,650756.58,284627.0,935383.58,2
2023-11-02,650756.58,285098.0,935854.58,2
2023-11-03,557416.32,379464.0,936880.32,3
2023-11-06,511924.5,430895.0,942819.5,3
2023-11-07,511924.5,429580.0,941504.5,3
2023-11-08,511924.5,434393.0,946317.5,3
2023-11-09,511924.5,429943.0,941867.5,3
2023-11-10,511924.5,428790.0,940714.5,3
2023-11-13,511924.5,422495.0,934419.5,3
2023-11-14,511924.5,419177.0,931101.5,3
2023-11-15,511924.5,424903.0,936827.5,3
2023-11-16,511924.5,420283.0,932207.5,3
2023-11-17,511924.5,420692.0,932616.5,3
2023-11-20,511924.5,424360.0,936284.5,3
2023-11-21,416018.14,520592.0,936610.14,4
2023-11-22,277744.2,650831.0,928575.2,5
2023-11-23,277744.2,652339.0,930083.2,5
2023-11-24,277744.2,647936.0,925680.2,5
2023-11-27,411242.66,513031.0,924273.66,4
2023-11-28,411242.66,514903.0,926145.66,4
2023-11-29,411242.66,513965.0,925207.66,4
2023-11-30,411242.66,516125.0,927367.66,4
2023-12-01,411242.66,511492.0,922734.66,4
2023-12-04,411242.66,508506.0,919748.66,4
2023-12-05,498670.17,415195.0,913865.17,3
2023-12-06,773567.09,139500.0,913067.09,1
2023-12-07,773567.09,140120.0,913687.09,1
2023-12-08,773567.09,140244.0,913811.09,1
2023-12-11,773567.09,141484.0,915051.09,1
2023-12-12,773567.09,142476.0,916043.09,1
2023-12-13,773567.09,142538.0,916105.09,1
2023-12-14,773567.09,142662.0,916229.09,1
2023-12-15,773567.09,141236.0,914803.09,1
2023-12-18,773567.09,143034.0,916601.09,1
2023-12-19,773567.09,142910.0,916477.09,1
2023-12-20,773567.09,144460.0,918027.09,1
2023-12-21,773567.09,143530.0,917097.09,1
2023-12-22,773567.09,143716.0,917283.09,1
2023-12-25,773567.09,145080.0,918647.09,1
2023-12-26,773567.09,145886.0,919453.09,1
2023-12-27,773567.09,145886.0,919453.09,1
2023-12-28,773567.09,144336.0,917903.09,1
2023-12-29,773567.09,144708.0,918275.09,1
2024-01-02,773567.09,146816.0,920383.09,1
2024-01-03,773567.09,147312.0,920879.09,1
2024-01-04,773567.09,147560.0,921127.09,1
2024-01-05,773567.09,147188.0,920755.09,1
2024-01-08,773567.09,146320.0,919887.09,1
2024-01-09,686008.33,234220.0,920228.33,2
2024-01-10,641860.86,277236.0,919096.86,2
2024-01-11,641860.86,275716.0,917576.86,2
